Sub_ID,CNR,SNR_anat,Cortical Contrast,FBER,EFC,SNR_dti,PercentFD_greater_than_0.20,DVARS,GCORR,SNR,PercentFD_greater_than_0.20_func,DVARS_func,GCORR_func,Outliers
29006,0.03136868333487927,0.08507886357493172,0.1726493229985106,0.40764767219408693,0.1785914128193925,0.23971662170517907,0.7672129420585921,1.0,0.949351522472792,0.6298302340787219,0.016922550842390638,0.19403289081257344,0.1254754803330197,0.015159669347671503
29007,0.036894113550553956,0.08721343619222272,0.17241572141486816,0.42410917663392256,0.1989813190485834,0.24974869457129314,0.7967217279763368,0.8348423297209893,0.8427686746036138,0.706655500428625,0.0,0.20277874933716797,0.04121119100231455,0.007617948192234283
29008,0.024870535890213402,0.08586698829325845,0.1412859398334913,0.39353674260643484,0.13144819918725625,0.22206618095366523,0.8262294811072302,0.8353909663933328,0.850491267813642,0.5579285148628244,0.0,0.1885069825316373,0.05993386851422717,0.006328518471291572
29009,0.05089694633698923,0.12974628527688875,0.17760909154514765,0.5589539131332617,0.16800555723538768,0.27716222703541793,0.6786886498790606,0.9943769542606646,0.8987995085463902,0.46181726350655955,0.21999213714135946,0.16544368406585933,0.10323289678782101,0.014363814241976653
29010,0.049157288969811294,0.1069465289799969,0.16691750366601898,0.34761723551865864,0.14575344646650135,0.09857045283450841,0.7672129420585921,0.576543428387182,0.7840443883058745,0.42768941449747283,0.26229800234247663,0.11517989354960295,0.04353264920189546,0.023835817037803426
29011,0.034055852646397114,0.07674763023288617,0.16578186349401702,0.2986885153848792,0.1603792418756671,0.13929708250142056,0.5311478186508912,0.6746537412537241,0.7832346135456605,0.36380703066493997,0.18614703545657818,0.1781687200755592,0.13188444239551755,0.00878450639903678
29012,0.03863073792408826,0.11295916420828583,0.15232715894172877,0.38632387677093205,0.07475959312391633,0.1476144998676844,0.9147537732867616,0.43189616662811003,0.7118447692403906,0.4212596029348907,0.8884303358914926,0.19535987183639628,0.07767534784840631,0.006532911607755054
29013,0.030533940726284667,0.06366655431346058,0.15241105068883992,0.36231769609150966,0.15175725798991302,0.16842502453166805,0.7377051889276988,0.6181871820017506,0.7939121544508609,0.49679416037255403,0.025383314358726542,0.16058938101027073,0.07111464773143854,0.010128681348879598
29014,0.036341859014401776,0.09622172956799918,0.1580868660273212,0.4180947281016089,0.14121571459189197,0.0927486913125451,0.5606555717817845,0.8126479368142883,0.7698773394871063,0.40876001054526395,0.22845290065769536,0.14763286010451676,0.08200831916624207,0.009454808781063312
29015,0.04413182895134608,0.12740543165461266,0.13799565418363607,0.4738605793605055,0.418333492739809,0.08252404795094867,0.6196721108304226,0.5366213134258488,0.7441188194337174,0.3986222804519927,0.0,0.15216501280248218,0.05721228110075238,0.011282151254576852
